rail_signal_id,program_or_corridor,state_or_scope,record_type,status_at_source,investment_aud_m,route_length_km,train_length_m,capability_change,timing,veka_interpretation,source_id,source_url,source_date,notes
IR-S2P,Stockinbingal to Parkes,NSW,inland_rail_section,completed_operational,,170,,"nine enhancement sites enabling double-stacked trains",completed early 2026,"Now inherited usable freight capability, not merely future intent.",RAIL-INLAND-PROGRESS-2026,https://inlandrail.com.au/progress/,2026-09,
IR-P2N,Parkes to Narromine,NSW,inland_rail_section,completed_operational,,,,"completed Inland Rail section",operational,"Strengthens Parkes as a functioning inland freight junction today.",RAIL-INLAND-PROGRESS-2026,https://inlandrail.com.au/progress/,2026-09,
IR-N2N,Narromine to Narrabri,NSW,inland_rail_section,corridor_preservation_with_approvals,,,,"future Inland Rail alignment; environmental approvals obtained",post-2026 delivery not committed,"Protected future option should be mapped distinctly from constructed/committed capacity.",RAIL-INLAND-NORTH-2026,https://inlandrail.com.au/where-we-go/projects/north-of-parkes/,2026,
IR-NNS1,Narrabri to North Star Phase 1,NSW,inland_rail_section,completed_operational,,,,"completed and operational upgraded section",operational,"A northern segment exists despite the broader north-of-Parkes program moving to preservation.",RAIL-INLAND-PROGRESS-2026,https://inlandrail.com.au/progress/,2026-09,
IR-NNS2,Narrabri to North Star Phase 2,NSW,inland_rail_section,approved_preserved,,,,"NSW and Australian Government approvals obtained; future delivery decision outstanding",corridor preservation phase,"Approval is option value, not construction commitment.",RAIL-INLAND-NORTH-2026,https://inlandrail.com.au/where-we-go/projects/north-of-parkes/,2026,
IR-NSB,North Star to NSW/Queensland Border,NSW,inland_rail_section,approved_preserved,,,,"environmental approvals obtained; corridor preservation",future delivery undecided,"Potential future connection remains protected but cannot be counted as near-term capacity.",RAIL-INLAND-NORTH-2026,https://inlandrail.com.au/where-we-go/projects/north-of-parkes/,2026,
IR-BG,NSW/Queensland Border to Gowrie,QLD,inland_rail_section,corridor_preservation,,,,"future corridor/site preservation",future delivery undecided,"Important Toowoomba/Darling Downs option, but not current committed rail delivery.",RAIL-INLAND-NORTH-2026,https://inlandrail.com.au/where-we-go/projects/north-of-parkes/,2026,
IR-GH,Gowrie to Helidon,QLD,inland_rail_section,corridor_preservation,,,,"future corridor/site preservation",future delivery undecided,"Preserved Toowoomba Range crossing option; should not be shown as under construction.",RAIL-INLAND-NORTH-2026,https://inlandrail.com.au/where-we-go/projects/north-of-parkes/,2026,
IR-HC,Helidon to Calvert,QLD,inland_rail_section,corridor_preservation,,,,"future corridor/site preservation",future delivery undecided,"Future alignment optionality only.",RAIL-INLAND-NORTH-2026,https://inlandrail.com.au/where-we-go/projects/north-of-parkes/,2026,
IR-CK,Calvert to Kagaru,QLD,inland_rail_section,corridor_preservation,,,,"future corridor/site preservation; eventual connection to coastal network",future delivery undecided,"Northern completion is not funded delivery; map as preserved future option rather than capacity.",RAIL-INLAND-NORTH-2026,https://inlandrail.com.au/where-we-go/projects/north-of-parkes/,2026,
RAIL-RAS-CAPABILITY,ARTC Route Access Standards,ARTC network,capability_source,available_for_ingestion,,,,"section-level axle load/speed, train length, loading gauge and access conditions",current documents May 2026+,"Next high-value conversion: turn rail geometry into operating capability and bottleneck layers.",RAIL-ARTC-RAS-2026,https://www.artc.com.au/customers/standards/route/,2026-05,"Source pointer, not a map asset; retained to drive exhaustive next extraction."
