source_id,title,publisher,source_type,url,retrieved_date,coverage,authority,notes
PORT-NSW-KEMBLA,Port Kembla trade and future container role,NSW Ports,operator_current_strategy,https://www.nswports.com.au/nsw-container-ports,2026-09-09,Port Kembla / NSW,primary,"Future NSW container terminal has concept approval; current role includes vehicles, bulk and project cargo."
PORT-NSW-RAIL,NSW Ports rail strategy and investment,NSW Ports,operator_strategy,https://www.nswports.com.au/rail,2026-09-09,Port Botany / Port Kembla / Sydney intermodal network,primary,"Long-term Port Botany rail target 3m TEU/year; staged on-dock rail investment and metropolitan intermodal links."
PORT-NEWCASTLE-CAPABILITY,Port of Newcastle capability,Port of Newcastle,operator_current,https://www.portofnewcastle.com.au/the-port/about/,2026-09-09,Newcastle / Hunter,primary,"States capacity for 10,000 ship movements and >200 Mt cargo annually, channel operating ~50% capacity and significant port land available."
PORT-MEL-FY25,Port of Melbourne FY25 trade data,Port of Melbourne,operator_current,https://www.portofmelbourne.com/record-trade-value-port-of-melbourne-reveals-fy25-trade-data/,2026-09-09,Port of Melbourne / Victoria,primary,"FY25 record 3.39m TEU and $154b trade value; CY2025 later reached 3.5m TEU."
PORT-MEL-PDS2055,Port of Melbourne 2055 Port Development Strategy,Port of Melbourne,operator_strategy,https://www.portofmelbourne.com/pds-2055/port-development-strategy.html,2026-09-09,Port of Melbourne / Victoria,primary,"Webb Dock North planned container capacity, former market site land, completed Port Rail Transformation Project and future Webb Dock freight-link planning."
PORT-GEELONG-CURRENT,GeelongPort current trade and facilities,GeelongPort,operator_current,https://geelongport.com.au/,2026-09-09,Geelong / south-west Victoria,primary,"13.6m+ tonnes cargo; $10.2b+ trade; 1,060 vessel visits; 15 berths across two precincts."
PORT-GEELONG-PDS2024,Port of Geelong 2024 Port Development Strategy,GeelongPort,operator_strategy,https://geelongport.com.au/development/port-development-strategy/,2026-09-09,Geelong / regional Victoria,primary,"Plans port capacity, transport corridors and land needs around regional catchments and future trade growth."
INTERMODAL-MOOREBANK-2026,Moorebank Intermodal Precinct terminals,MITCo / Moorebank Intermodal Precinct,operator_current,https://moorebankintermodalprecinct.com.au/terminals/,2026-09-09,Moorebank / South-west Sydney,primary,"Interstate terminal opened 2024; current configuration 250k TEU/year, expandable to 500k TEU/year; IMEX terminal links to Port Botany and interstate network."
INTERMODAL-NSWPORTS-ENFIELD,Enfield Intermodal Logistics Centre,NSW Ports,operator_current,https://www.nswports.com.au/enfield-intermodal-logistics-centre,2026-09-09,Enfield / Sydney,primary,"60ha logistics centre 18km from Port Botany on dedicated freight rail; NSW Ports investing $250m and states significant spare container-handling capacity."
INTERMODAL-NSWPORTS-COOKS,Cooks River Intermodal Terminal,NSW Ports,operator_current,https://www.nswports.com.au/cooks-river-intermodal-terminal,2026-09-09,Cooks River / Sydney,primary,"Direct daily Port Botany rail shuttles; multiple sidings for regional trains; major empty-container storage role."
