study_id,study_year,study_name,study_scope,evidence_type,metric,value,unit,price_year,source_url,notes
HSR-2013,2013,High Speed Rail Study Phase 2,Canberra-Melbourne,cost,stage_cost,26.9,AUD_billion,2012,https://www.infrastructure.gov.au/sites/default/files/migrated/rail/publications/high-speed-rail-study-reports/files/HSR_Phase_2_Keyfindings_ES_Booklet.pdf,"611 km built track; reported $44m/km."
HSR-2013,2013,High Speed Rail Study Phase 2,Newcastle-Sydney,cost,stage_cost,18.9,AUD_billion,2012,https://www.infrastructure.gov.au/sites/default/files/migrated/rail/publications/high-speed-rail-study-reports/files/HSR_Phase_2_Keyfindings_ES_Booklet.pdf,"134 km built track; reported $141m/km, illustrating extreme metro-access/corridor cost intensity."
HSR-2013,2013,High Speed Rail Study Phase 2,Brisbane-Gold Coast,cost,stage_cost,11.0,AUD_billion,2012,https://www.infrastructure.gov.au/sites/default/files/migrated/rail/publications/high-speed-rail-study-reports/files/HSR_Phase_2_Keyfindings_ES_Booklet.pdf,"115 km built track; reported $96m/km."
HSR-2013,2013,High Speed Rail Study Phase 2,Gold Coast-Newcastle,cost,stage_cost,34.3,AUD_billion,2012,https://www.infrastructure.gov.au/sites/default/files/migrated/rail/publications/high-speed-rail-study-reports/files/HSR_Phase_2_Keyfindings_ES_Booklet.pdf,"606 km built track; reported $56m/km."
HSR-2013,2013,High Speed Rail Study Phase 2,Sydney-Melbourne,travel_time,forecast,2.73,hours,,https://www.aph.gov.au/Parliamentary_Business/Bills_Legislation/bd/bd2223a/23bd014,"2h44m reported by Parliamentary summary of Phase 2."
HSR-2013,2013,High Speed Rail Study Phase 2,Sydney-Brisbane,travel_time,forecast,2.62,hours,,https://www.aph.gov.au/Parliamentary_Business/Bills_Legislation/bd/bd2223a/23bd014,"2h37m reported."
HSR-2013,2013,High Speed Rail Study Phase 2,Sydney-Canberra,travel_time,forecast,64,minutes,,https://www.aph.gov.au/Parliamentary_Business/Bills_Legislation/bd/bd2223a/23bd014,"Useful demand/accessibility benchmark only."
HSR-2017,2017,Harnessing Value Delivering Infrastructure inquiry,South-eastern Australia,settlement_policy,decentralisation_recommendation,1,recommendation,,https://www.aph.gov.au/Parliamentary_Business/Committees/House/Former_Committees/ITC/TransportConnectivity/Report_1/section?id=committees%2Freportrep%2F024018%2F24069,"Inquiry explicitly considered HSR as a means to rebalance settlement and emphasised integrated transport/land-use planning and corridor protection."
HSR-2026,2026,HSRA Newcastle-Sydney Line 1,Newcastle-Central Coast-Sydney,development_phase,development_funding,659.6,AUD_million,2026,https://minister.infrastructure.gov.au/c-king/media-release/newcastle-sydney-1-hour-albanese-government-lays-foundation-high-speed-rail-australia,"Two-year development phase; intended to make Line 1 construction-ready, not construction cost."
HSR-2026,2026,HSRA Newcastle-Sydney Line 1,Newcastle-Sydney,travel_time,target,1,hour,,https://www.hsra.gov.au/newcastle-to-sydney,"Dedicated line, trains up to 320 km/h."
HSR-2026,2026,HSRA Newcastle-Sydney Line 1,Central Coast-Sydney_or_Newcastle,travel_time,target,30,minutes,,https://www.hsra.gov.au/newcastle-to-sydney,"Current development target."
HSR-2026,2026,HSRA Newcastle-Sydney Line 1,Newcastle-Sydney,engineering,current_tunnel_package,35,km,,https://www.hsra.gov.au/industry-update-march-2026,"Area Package 1 calls for about 35 km of twin TBM tunnels plus underground station/systems installation."
